               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_etc_mAP,metrics/trash_fabric_mAP,metrics/trash_fisching_gear_mAP,metrics/trash_metal_mAP,metrics/trash_paper_mAP,metrics/trash_plastic_mAP,metrics/trash_rubber_mAP,metrics/trash_wood_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_etc_mAP_50,metrics/trash_fabric_mAP_50,metrics/trash_fisching_gear_mAP_50,metrics/trash_metal_mAP_50,metrics/trash_paper_mAP_50,metrics/trash_plastic_mAP_50,metrics/trash_rubber_mAP_50,metrics/trash_wood_mAP_50
                  12,             0.04386,            0.014334,             0.04407,             0.54488,            0.096465,            0.080949,            0.035637,            0.060765,            0.023585,            0.051626,            0.009637,            0.009637,            0.009637,             0.20656,          0.00092065,            0.025125,           0.0020546,           0.0055538,          0.00065633,            0.077115,           0.0075872,            0.015845,             0.01266,           0.0025189,            0.046133,             0.01657,             0.10284,            0.031301,            0.016748,             0.38096,           0.0034909,            0.067161,           0.0073266,            0.013873,           0.0021487,             0.19634,            0.016056,            0.046315,            0.028462,           0.0059633,             0.10242,            0.041119,             0.19514,             0.15269,            0.035717
                  13,            0.043439,            0.014642,            0.044223,             0.52545,              0.1382,            0.087384,            0.041195,            0.056896,            0.022666,            0.052662,            0.009604,            0.009604,            0.009604,             0.27937,          0.00065706,            0.040127,           0.0061752,            0.010245,          0.00077895,            0.075877,           0.0045208,            0.032351,            0.007603,           0.0010752,            0.039211,            0.026694,            0.077595,            0.014315,            0.042525,             0.49314,           0.0018602,             0.10852,            0.014763,              0.0237,           0.0036125,             0.20772,            0.010901,            0.085864,            0.015678,            0.003432,            0.081312,            0.060558,             0.14157,             0.05795,            0.087561
                  14,            0.042213,            0.014112,            0.043136,              0.4307,             0.13669,            0.097794,            0.048766,            0.055525,            0.021539,            0.050045,            0.009571,            0.009571,            0.009571,               0.325,          0.00096364,            0.020378,           0.0021115,           0.0049217,          0.00046094,            0.071449,           0.0033306,            0.035195,            0.040316,           0.0020648,            0.067706,            0.023864,             0.11686,           0.0012297,            0.064404,             0.53231,           0.0022986,            0.061531,           0.0071757,            0.011291,            0.001553,             0.22374,           0.0072401,            0.094425,            0.077911,           0.0062181,             0.13382,            0.051472,             0.21861,           0.0054704,             0.12965
                  15,            0.042721,            0.014111,            0.042343,             0.46937,             0.09146,            0.086809,            0.044079,            0.056299,            0.023064,            0.050878,            0.009538,            0.009538,            0.009538,              0.2501,           0.0071464,            0.018663,           0.0021766,           0.0039786,          0.00073886,            0.034494,           0.0023304,            0.023883,            0.062895,           0.0020636,            0.085224,            0.024049,               0.122,            0.017788,            0.047731,             0.42702,            0.015477,            0.044632,           0.0066793,           0.0088339,            0.001533,             0.10116,           0.0061449,             0.06079,              0.1019,           0.0053828,             0.17971,            0.053866,             0.21524,            0.070914,            0.089659
                  16,            0.041756,            0.013542,            0.041588,             0.61558,             0.15504,             0.12356,            0.063241,            0.052306,            0.020466,             0.04776,            0.009505,            0.009505,            0.009505,              0.3629,            0.015431,            0.024597,           0.0020226,            0.015069,          0.00082937,            0.067987,           0.0051394,            0.046694,            0.031185,           0.0019153,            0.074912,            0.018609,             0.15936,             0.14646,            0.038742,             0.55406,            0.034906,            0.078526,           0.0053463,            0.040042,           0.0019905,             0.20334,            0.011057,             0.11445,            0.077252,           0.0042668,             0.15708,            0.039598,             0.29508,             0.28489,            0.075071
                  17,            0.040946,            0.013467,            0.040433,             0.43868,             0.12075,             0.10118,            0.046662,            0.057826,            0.021457,            0.050402,            0.009472,            0.009472,            0.009472,              0.3279,           0.0011309,            0.029968,           0.0053669,            0.012573,          0.00063545,            0.044198,           0.0046236,            0.022127,            0.015627,           0.0031367,            0.079608,           0.0096931,             0.13646,            0.041198,            0.012345,             0.53036,           0.0031938,             0.10722,            0.018718,             0.02744,           0.0030135,             0.14662,             0.01165,            0.059127,            0.032097,           0.0068906,             0.16822,            0.022156,             0.25019,               0.196,            0.035995
                  18,            0.041782,            0.013403,            0.040865,             0.35225,             0.14406,             0.10289,            0.051281,            0.054063,            0.022928,             0.04782,            0.009439,            0.009439,            0.009439,             0.35997,           0.0015307,            0.024811,           0.0018791,           0.0058151,           0.0019182,             0.03427,           0.0060793,            0.040425,            0.019484,           0.0013869,            0.071087,             0.02873,             0.16466,            0.032903,            0.025549,             0.61752,           0.0043204,            0.076824,           0.0058869,            0.012716,           0.0052546,             0.13399,             0.01308,             0.10136,            0.037448,           0.0033726,             0.14701,             0.05488,             0.27761,            0.096098,            0.058866
                  19,             0.04129,            0.013268,            0.039261,             0.42076,             0.14146,              0.1097,            0.053112,            0.053191,            0.019818,            0.049288,            0.009406,            0.009406,            0.009406,             0.30052,           0.0046246,            0.022068,           0.0014936,            0.019352,          0.00047493,            0.094186,           0.0046837,            0.053082,            0.026103,           0.0043756,            0.095584,              0.0177,             0.11098,            0.047585,            0.046971,              0.5171,             0.01386,             0.06319,           0.0048744,            0.049239,           0.0025335,             0.25632,             0.01184,             0.12226,            0.057501,           0.0097563,             0.20119,            0.032213,             0.21851,             0.11304,            0.081821
                  20,            0.040223,            0.013146,            0.038255,             0.44725,             0.16651,             0.12175,            0.061456,            0.052298,            0.021683,            0.047545,            0.009373,            0.009373,            0.009373,             0.32435,            0.021297,            0.038563,            0.013093,           0.0027463,          0.00085726,             0.12733,           0.0033012,             0.04964,            0.028506,           0.0029972,            0.097381,            0.031956,             0.12611,            0.078949,            0.036219,             0.51188,            0.049319,            0.091667,            0.032935,           0.0058319,           0.0029764,             0.31517,           0.0074468,              0.1146,            0.049766,           0.0073325,             0.18618,            0.044598,             0.27393,             0.17859,            0.075838
                  21,             0.04064,            0.012704,            0.037386,              0.3418,             0.16881,             0.12625,            0.060468,            0.053115,            0.020873,            0.045619,             0.00934,             0.00934,             0.00934,             0.36233,            0.017484,            0.032287,            0.002618,           0.0093772,          0.00079661,            0.054016,           0.0050749,            0.043153,            0.035131,           0.0035528,             0.11674,             0.03503,              0.1877,            0.012656,            0.049557,             0.62332,            0.056404,             0.11081,            0.010708,            0.031087,           0.0028789,             0.19602,            0.010163,             0.11761,            0.064352,            0.010454,             0.25292,            0.059853,             0.31504,            0.052441,             0.10589
                  22,            0.039856,            0.012713,            0.037024,             0.44174,             0.15013,             0.12942,            0.063857,            0.051813,            0.022724,            0.047835,            0.009307,            0.009307,            0.009307,             0.35146,           0.0056742,            0.021653,           0.0015655,            0.015927,           0.0022443,             0.11328,           0.0067067,            0.037528,            0.033934,           0.0040679,             0.12007,            0.021086,             0.15947,            0.040528,            0.086513,             0.57785,            0.012073,            0.055043,           0.0038587,            0.077026,           0.0066735,             0.28788,            0.012932,            0.080716,            0.066996,            0.010321,             0.26316,             0.04307,              0.2924,             0.13583,             0.14496
                  23,            0.039693,            0.012784,            0.036097,              0.5236,             0.10728,             0.10055,            0.048946,            0.055865,            0.025838,            0.051594,            0.009274,            0.009274,            0.009274,             0.35262,           0.0060667,            0.017597,           0.0011447,          0.00057791,            0.001823,            0.063049,            0.006621,            0.019392,           0.0077149,           0.0026586,            0.084007,            0.044583,             0.13517,            0.016416,            0.023685,             0.58416,            0.011301,            0.045562,           0.0031481,            0.001567,           0.0064254,             0.19916,            0.017473,            0.046398,            0.013581,           0.0051743,             0.22241,            0.092676,             0.23578,            0.079787,            0.044216
                  24,             0.03958,            0.012473,            0.035154,               0.399,             0.16497,             0.10967,            0.057768,            0.052059,            0.023573,            0.048423,            0.009241,            0.009241,            0.009241,             0.37832,            0.016924,            0.027474,            0.018566,           0.0054327,           0.0021273,            0.052952,           0.0070449,            0.039033,            0.023194,           0.0032586,            0.048725,            0.061917,             0.16508,            0.028471,            0.045771,             0.59299,             0.03376,            0.072865,            0.064079,            0.013727,           0.0081033,             0.16751,            0.017912,            0.088081,            0.046143,            0.010173,             0.11536,            0.086277,             0.29187,            0.064132,            0.081761
                  25,            0.039781,            0.012438,            0.034233,             0.40516,             0.15058,             0.12587,            0.060073,            0.056846,            0.025914,            0.048878,            0.009208,            0.009208,            0.009208,             0.29005,           0.0072834,            0.021628,            0.034377,           0.0068602,           0.0051201,             0.12209,           0.0050224,            0.024506,           0.0085614,           0.0012285,             0.10138,            0.027382,             0.13728,              0.0624,               0.106,             0.49803,            0.021179,              0.0515,             0.06748,            0.018872,            0.017299,             0.28826,            0.010619,            0.058477,            0.016153,           0.0024613,             0.24357,            0.066463,             0.24227,             0.26126,              0.1501
                  26,            0.038721,            0.012216,            0.033094,             0.47089,             0.20051,             0.16172,            0.074649,            0.050943,             0.01944,             0.04532,            0.009175,            0.009175,            0.009175,             0.38124,             0.06959,             0.03867,           0.0022353,            0.043816,            0.006099,             0.10486,           0.0063067,            0.059465,            0.035984,           0.0047371,            0.097034,            0.033919,             0.15765,            0.075905,            0.076877,              0.5849,             0.18303,             0.12476,            0.010151,             0.13994,            0.020419,             0.32358,            0.011512,             0.14383,            0.074426,            0.012282,             0.22057,            0.059117,             0.31988,             0.20088,             0.15818
                  27,            0.038704,              0.0121,            0.031782,             0.39615,             0.19913,             0.13593,            0.062865,            0.053404,            0.021546,            0.050915,            0.009142,            0.009142,            0.009142,             0.32555,             0.02783,            0.031347,            0.049453,            0.055068,          0.00041897,             0.13666,           0.0033604,            0.034214,            0.026939,           0.0059758,            0.088293,            0.037973,             0.11843,            0.015513,            0.048811,             0.52066,            0.072322,            0.083445,             0.12816,              0.1542,           0.0018195,             0.35427,           0.0069009,            0.082389,            0.047364,             0.01458,             0.22877,             0.10108,             0.22948,            0.045416,             0.10406
                  28,            0.039524,            0.012292,            0.031872,             0.41247,              0.1966,             0.14828,            0.068151,            0.053069,            0.021384,             0.04832,            0.009109,            0.009109,            0.009109,             0.35912,            0.013158,            0.017296,            0.030618,            0.018707,           0.0021829,            0.076546,           0.0035823,            0.053183,            0.030983,           0.0051746,             0.10478,            0.083374,             0.13525,            0.068155,            0.088312,             0.58921,            0.033269,            0.052632,             0.11426,            0.061466,            0.010958,             0.21195,            0.011097,             0.12562,            0.056637,             0.01449,             0.22866,              0.2143,             0.27746,              0.1765,             0.19398
                  29,            0.039293,            0.012004,            0.030764,             0.37807,             0.16311,             0.13136,             0.06245,            0.056962,            0.023019,            0.050115,            0.009076,            0.009076,            0.009076,             0.32743,           0.0092503,            0.068625,          0.00060676,           0.0018683,           0.0063965,             0.12726,            0.002892,            0.033882,            0.010758,           0.0057376,            0.099919,            0.075597,             0.12819,            0.051842,            0.048941,             0.54095,            0.024434,             0.16548,           0.0021035,           0.0052367,            0.019938,             0.26912,           0.0075972,            0.080166,            0.018614,            0.014133,             0.23393,              0.1945,             0.26444,             0.16249,             0.09861
                  30,            0.038862,            0.012155,            0.029184,             0.40633,             0.24567,             0.19132,            0.092587,            0.051352,            0.019639,            0.046596,            0.009043,            0.009043,            0.009043,              0.3488,            0.093918,            0.044205,            0.018384,            0.060766,           0.0097086,            0.094836,            0.014308,            0.062803,            0.037219,             0.00463,             0.10214,             0.11494,             0.18865,             0.17221,             0.11387,             0.58328,             0.17375,             0.12905,            0.060183,             0.19511,            0.031487,             0.29045,            0.040044,             0.16284,            0.068424,            0.014047,             0.25681,             0.21025,             0.35112,             0.32271,              0.1716
                  31,            0.038317,            0.011866,            0.028312,             0.47305,             0.22222,             0.14692,            0.073887,            0.055825,            0.021716,            0.046107,             0.00901,             0.00901,             0.00901,              0.3246,            0.046031,            0.045542,          0.00067262,            0.045879,           0.0071106,            0.092661,           0.0041444,            0.037924,            0.033631,           0.0026076,             0.10167,            0.052549,              0.1237,             0.09437,             0.16911,             0.55579,            0.094908,             0.12003,           0.0023143,            0.085218,            0.021544,             0.24445,            0.010636,            0.095232,            0.053216,           0.0059699,             0.22699,            0.084378,             0.24086,             0.17795,             0.33124
                  32,            0.038387,            0.011683,            0.027151,             0.47716,              0.2016,             0.16199,             0.08106,            0.053401,            0.022053,            0.049135,            0.008977,            0.008977,            0.008977,             0.41174,            0.045405,            0.044033,            0.034793,           0.0029513,           0.0030338,              0.1362,           0.0057142,              0.0394,            0.027161,           0.0045798,             0.11964,            0.044169,             0.20205,            0.065923,             0.11018,             0.64567,              0.1119,             0.11073,            0.083089,           0.0059203,            0.012148,             0.31509,            0.015834,            0.094159,            0.047104,            0.011916,             0.30848,            0.068044,             0.36338,             0.17846,             0.21998
                  33,            0.039304,            0.011587,            0.026091,             0.38759,             0.21318,             0.15599,            0.073927,            0.052377,            0.020625,            0.049639,            0.008944,            0.008944,            0.008944,             0.36798,             0.10092,            0.027111,           0.0076224,            0.014519,            0.010359,            0.089513,           0.0041053,             0.06422,            0.031566,           0.0078305,             0.08722,            0.090069,             0.14099,            0.059231,            0.079569,             0.58114,             0.22647,              0.0984,            0.027785,            0.050549,            0.054349,             0.22621,            0.011985,             0.14234,            0.055915,            0.021597,             0.23648,             0.22405,             0.25449,             0.12583,             0.15827
                  34,            0.038065,            0.011631,            0.025568,             0.33068,             0.22639,              0.1525,            0.069734,            0.051613,            0.020855,            0.049223,            0.008911,            0.008911,            0.008911,             0.30575,             0.01528,            0.018486,            0.043775,            0.057656,           0.0027056,             0.06957,            0.004024,            0.047415,            0.041348,            0.004968,             0.11157,             0.12841,             0.16486,            0.036494,            0.063438,             0.51405,            0.048529,            0.047255,             0.12276,             0.18893,            0.011704,             0.20585,            0.010103,             0.11879,            0.072962,            0.013579,             0.27722,             0.21449,              0.3323,             0.12604,             0.13546
                  35,            0.039135,            0.011536,            0.025268,             0.41911,             0.19048,             0.15511,            0.076377,            0.051678,            0.021766,            0.049483,            0.008878,            0.008878,            0.008878,             0.33121,            0.044257,            0.074024,           0.0094197,            0.039384,            0.012892,            0.088485,           0.0049192,            0.049094,            0.034834,           0.0068195,             0.09526,              0.1714,             0.15378,             0.01709,            0.089161,             0.54877,             0.14443,             0.17968,            0.021728,             0.13045,            0.041847,             0.22738,            0.012174,             0.11767,            0.063552,            0.019514,             0.20016,             0.23955,             0.30698,             0.06879,             0.15904
                  36,            0.038692,            0.011481,            0.024427,             0.26956,              0.2248,             0.18281,            0.084414,            0.050687,            0.021144,            0.046424,            0.008845,            0.008845,            0.008845,             0.35502,            0.076938,            0.026595,            0.027863,            0.028223,            0.023553,              0.1558,           0.0078706,            0.062142,            0.075438,           0.0055549,             0.11481,             0.06854,             0.19186,            0.053222,            0.077176,             0.58458,              0.1438,            0.067567,            0.071158,             0.10762,            0.046199,             0.41913,            0.041467,             0.14721,             0.14024,            0.013474,             0.26684,             0.15835,             0.35731,             0.21958,             0.14041
                  37,            0.039041,            0.011634,            0.022706,             0.43127,             0.19302,             0.17431,            0.086742,            0.051939,            0.021185,            0.048652,            0.008812,            0.008812,            0.008812,             0.39673,             0.10232,            0.045821,            0.031555,            0.010754,           0.0074425,             0.14381,           0.0018603,            0.058882,             0.10729,           0.0063949,            0.070464,             0.12696,             0.14269,            0.028119,             0.10678,             0.63317,             0.22646,             0.12121,             0.10198,             0.02113,            0.024757,              0.3051,           0.0048317,             0.12995,             0.17284,            0.019333,             0.18494,             0.22361,             0.27211,             0.16071,             0.18679
                  38,            0.039645,            0.011538,            0.023564,             0.49501,             0.21784,             0.19106,            0.093695,            0.051278,            0.020131,            0.047245,            0.008779,            0.008779,            0.008779,             0.39446,            0.097867,            0.022286,            0.016478,            0.040516,            0.020607,            0.099891,           0.0088619,            0.072284,            0.057412,             0.02399,            0.094907,             0.19747,             0.14962,             0.13627,            0.066212,             0.62309,             0.25261,            0.070607,            0.040024,             0.12589,            0.061337,              0.2094,            0.018911,             0.16727,            0.098068,            0.051835,             0.25425,             0.38371,             0.28824,             0.26371,             0.14793
                  39,            0.038678,            0.011521,            0.022239,             0.35028,             0.23783,             0.18755,            0.090204,            0.049785,            0.020836,            0.047786,            0.008746,            0.008746,            0.008746,             0.32774,             0.08506,            0.041601,            0.018449,            0.029188,            0.013482,             0.10851,            0.020798,            0.060216,             0.08711,            0.020086,            0.093488,             0.15531,             0.17964,              0.1036,            0.098969,             0.54312,             0.17807,            0.097254,            0.062574,            0.090805,            0.040041,             0.28899,            0.056429,             0.13002,             0.14575,            0.037416,             0.16493,             0.33183,             0.32892,             0.29045,             0.21413
                  40,             0.03861,            0.011058,            0.020578,             0.30279,             0.23027,             0.21804,             0.10118,            0.050913,            0.021755,            0.045369,            0.008713,            0.008713,            0.008713,             0.40303,              0.1462,            0.032189,            0.062873,             0.04314,           0.0070696,            0.096553,           0.0084622,            0.069892,            0.044844,            0.018949,             0.14826,              0.1853,             0.17229,             0.10265,            0.077183,              0.6627,             0.31108,            0.086689,             0.18638,             0.14846,            0.034635,             0.31184,            0.024541,             0.15367,            0.073312,            0.055063,             0.31832,             0.36166,             0.33277,             0.24414,             0.18341
                  41,            0.039405,            0.011146,            0.020427,             0.31645,              0.2677,             0.21897,             0.10356,            0.049962,            0.019515,            0.045028,             0.00868,             0.00868,             0.00868,              0.3687,            0.095178,            0.078961,            0.058006,            0.044377,           0.0088688,             0.10055,             0.01125,            0.070809,              0.1401,             0.02415,             0.11473,             0.16506,              0.2019,             0.10364,            0.070748,             0.62902,             0.20066,             0.18875,             0.17666,             0.15038,            0.036023,              0.2446,            0.031527,             0.17412,             0.24917,            0.081226,             0.23559,             0.30561,             0.39285,               0.279,             0.12833
                  42,            0.038961,            0.010976,            0.019021,             0.37388,              0.2791,             0.21794,             0.10888,            0.050729,            0.020838,            0.049728,            0.008647,            0.008647,            0.008647,             0.40097,             0.12583,            0.060667,            0.048276,            0.081089,            0.014077,             0.16065,           0.0027787,            0.078049,             0.12125,           0.0097455,             0.10593,             0.17953,             0.15756,             0.11372,            0.081959,             0.63147,             0.22437,              0.1375,              0.1576,             0.24581,            0.053404,             0.35832,           0.0067098,             0.17098,             0.19583,            0.035508,             0.24099,             0.30268,             0.31614,              0.2595,             0.15027
                  43,            0.038678,            0.010796,            0.018402,             0.33126,             0.25965,             0.22114,              0.1084,            0.050395,            0.020921,            0.048374,            0.008614,            0.008614,            0.008614,             0.39571,             0.10754,            0.025769,            0.050226,            0.021015,            0.016076,              0.1361,           0.0048774,             0.06345,            0.097233,            0.035654,             0.11427,             0.22827,             0.21705,              0.1413,            0.079847,             0.62916,             0.27417,            0.078997,             0.13403,              0.1095,            0.054028,             0.33191,            0.012651,             0.13824,             0.18099,             0.10913,             0.25214,             0.39662,             0.38764,             0.26102,             0.18807
                  44,            0.040336,            0.010807,            0.017964,             0.38259,             0.28689,             0.23547,             0.10569,            0.049751,            0.020078,             0.04841,            0.008581,            0.008581,            0.008581,             0.30261,            0.084384,            0.048406,            0.033116,            0.081825,            0.030492,             0.12616,            0.025997,            0.087335,            0.083155,            0.016879,             0.14041,             0.22564,             0.23278,            0.077307,            0.094494,             0.50419,             0.24694,             0.11245,              0.1184,             0.26698,            0.074605,             0.34903,             0.06052,             0.18187,             0.15269,            0.073061,             0.27355,             0.44292,             0.40292,             0.27544,             0.23192
